1,Sofía,Torres,DevOps Engineer,Madrid,29128
2,María,Romero,Ingeniero de Software,Barcelona,43814
3,Pedro,Martínez,Científico de Datos,Barcelona,19010
4,Carlos,Sánchez,Ingeniero de Software,Zaragoza,41165
5,Diego,Martínez,Científico de Datos,Zaragoza,25191
6,Luis,Díaz,Desarrollador Backend,Zaragoza,28856
7,Pedro,Martín,DevOps Engineer,Valencia,42251
8,Isabel,Martín,Desarrollador Frontend,Barcelona,45204
9,Sofía,García,Desarrollador Frontend,Zaragoza,36780
10,María,Fernández,DevOps Engineer,Sevilla,41468
11,Pedro,Fernández,Desarrollador Frontend,Granada,31925
12,Sofía,Torres,Desarrollador Frontend,Madrid,25851
13,Miguel,Álvarez,Desarrollador Frontend,Valencia,43348
14,Raúl,Gómez,Científico de Datos,Toledo,36624
15,Isabel,Alonso,Ingeniero de Software,Madrid,24164
16,Paula,Navarro,DevOps Engineer,Salamanca,21726
17,Carlos,Moreno,Ingeniero de Software,Málaga,25172
18,María,Moreno,Desarrollador Frontend,Valencia,48174
19,Juan,Moreno,Desarrollador Frontend,Madrid,43372
20,Carlos,López,Científico de Datos,Madrid,34856
21,Ana,Sánchez,Científico de Datos,Madrid,22183
22,Clara,Fernández,Desarrollador Frontend,Sevilla,37727
23,Raúl,Navarro,Ingeniero de Software,Toledo,33264
24,Andrés,Álvarez,Desarrollador Frontend,Salamanca,27272
25,Fernando,Torres,Científico de Datos,Madrid,32442
26,Juan,Romero,Desarrollador Backend,Valencia,21963
27,Carmen,Torres,Ingeniero de Software,Granada,42058
28,Juan,Romero,DevOps Engineer,Sevilla,38013
29,Fernando,Gutiérrez,DevOps Engineer,Granada,33849
30,Fernando,Fernández,Desarrollador Backend,Bilbao,23383
31,Juan,Moreno,Desarrollador Frontend,Bilbao,41922
32,Luis,Fernández,DevOps Engineer,Toledo,22698
33,María,Torres,Científico de Datos,Málaga,24422
34,Laura,Álvarez,DevOps Engineer,Granada,38473
35,Isabel,Jiménez,DevOps Engineer,Zaragoza,22693
36,Juan,Fernández,Desarrollador Frontend,Toledo,47499
37,Paula,Díaz,Ingeniero de Software,Sevilla,19863
38,Carlos,Ruiz,Desarrollador Frontend,Málaga,31485
39,Clara,Hernández,DevOps Engineer,Madrid,20474
40,Isabel,García,Ingeniero de Software,Bilbao,32220
41,María,Alonso,Ingeniero de Software,Valencia,30148
42,Clara,Álvarez,Científico de Datos,Bilbao,28549
43,Andrés,Gómez,Desarrollador Frontend,Bilbao,37859
44,Lucía,Romero,Científico de Datos,Valencia,23956
45,Fernando,Alonso,DevOps Engineer,Málaga,26059
46,Raúl,Álvarez,Desarrollador Frontend,Valencia,40626
47,Lucía,Moreno,Científico de Datos,Málaga,19484
48,Pedro,Álvarez,DevOps Engineer,Sevilla,45628
49,María,Martínez,Desarrollador Backend,Málaga,44450
50,Lucía,Ruiz,Desarrollador Frontend,Barcelona,23780
51,Andrés,Muñoz,DevOps Engineer,Zaragoza,24843
52,Raúl,Jiménez,Desarrollador Frontend,Valencia,43062
53,Ana,Gutiérrez,Desarrollador Frontend,Zaragoza,39933
54,María,Gutiérrez,DevOps Engineer,Madrid,44068
